"SeqNum.row","SeqNum.col","dist.manh","SampNum.row","SampNum.col"
10,6,15202.5637810205,"hc3_5","ss2_9"
10,15,10149.2929893425,"ss3_15","ss2_9"
10,12,8747.6279059398,"ss2_18","ss2_9"
10,1,14788.300134881,"hc1_2","ss2_9"
10,10,0,"ss2_9","ss2_9"
10,9,15102.6135157083,"hc3_11","ss2_9"
11,15,10936.7650668245,"ss3_15","ss2_14"
11,9,14709.2790564263,"hc3_11","ss2_14"
11,2,16626.6089035792,"hc1_4","ss2_14"
11,8,14988.7303972967,"hc3_10","ss2_14"
11,13,9278.00606367286,"ss3_3","ss2_14"
11,7,16705.4420050409,"hc3_7","ss2_14"
11,12,10653.3657517023,"ss2_18","ss2_14"
11,18,10281.723779725,"ss5_18","ss2_14"
11,6,15975.1825997302,"hc3_5","ss2_14"
11,1,14887.0023542068,"hc1_2","ss2_14"
11,16,8530.5236437036,"ss3_16","ss2_14"
11,14,9505.80176410012,"ss3_14","ss2_14"
11,3,16120.0100690295,"hc2_15","ss2_14"
11,5,16014.1644150682,"hc3_1","ss2_14"
11,10,9317.55810046274,"ss2_9","ss2_14"
11,4,16108.6356653276,"hc2_17","ss2_14"
11,17,11322.262382856,"ss3_20","ss2_14"
11,11,0,"ss2_14","ss2_14"
12,13,7351.71412534792,"ss3_3","ss2_18"
12,7,14868.1230198216,"hc3_7","ss2_18"
12,6,13292.5715508738,"hc3_5","ss2_18"
12,16,10471.8138024654,"ss3_16","ss2_18"
12,2,15169.867372817,"hc1_4","ss2_18"
12,8,13497.2097367929,"hc3_10","ss2_18"
12,4,15381.0906330693,"hc2_17","ss2_18"
12,3,15450.8816606401,"hc2_15","ss2_18"
12,5,13934.9507004741,"hc3_1","ss2_18"
12,12,0,"ss2_18","ss2_18"
12,18,7483.07309382449,"ss5_18","ss2_18"
12,11,10653.3657517023,"ss2_14","ss2_18"
12,17,11078.748813017,"ss3_20","ss2_18"
12,9,13012.5168645969,"hc3_11","ss2_18"
12,10,8747.6279059398,"ss2_9","ss2_18"
12,15,10026.9443553962,"ss3_15","ss2_18"
12,14,8692.70565987017,"ss3_14","ss2_18"
12,1,13635.255615892,"hc1_2","ss2_18"
13,18,6997.71242240812,"ss5_18","ss3_3"
13,17,11215.384594428,"ss3_20","ss3_3"
13,7,16044.5616098199,"hc3_7","ss3_3"
13,8,15209.2567425607,"hc3_10","ss3_3"
13,13,0,"ss3_3","ss3_3"
13,15,9899.82934984019,"ss3_15","ss3_3"
13,5,15248.1471996227,"hc3_1","ss3_3"
13,3,16418.2063528546,"hc2_15","ss3_3"
13,11,9278.00606367286,"ss2_14","ss3_3"
13,12,7351.71412534792,"ss2_18","ss3_3"
13,6,15959.6831089164,"hc3_5","ss3_3"
13,16,8283.19147748935,"ss3_16","ss3_3"
13,1,14606.951869731,"hc1_2","ss3_3"
13,14,8503.10213023901,"ss3_14","ss3_3"
13,2,16480.5349907387,"hc1_4","ss3_3"
13,9,14188.1950028962,"hc3_11","ss3_3"
13,4,15743.1797859565,"hc2_17","ss3_3"
13,10,8413.87778423087,"ss2_9","ss3_3"
14,10,9119.60020140509,"ss2_9","ss3_14"
14,18,8055.09719992558,"ss5_18","ss3_14"
14,2,16347.9901062862,"hc1_4","ss3_14"
14,7,16375.9025884132,"hc3_7","ss3_14"
14,11,9505.80176410012,"ss2_14","ss3_14"
14,3,16417.5118997252,"hc2_15","ss3_14"
14,8,14489.5650208192,"hc3_10","ss3_14"
14,1,14484.4939799864,"hc1_2","ss3_14"
14,12,8692.70565987017,"ss2_18","ss3_14"
14,4,15586.1728401661,"hc2_17","ss3_14"
14,9,14113.2258396729,"hc3_11","ss3_14"
14,5,14915.3058250786,"hc3_1","ss3_14"
14,13,8503.10213023901,"ss3_3","ss3_14"
14,6,15121.1186429283,"hc3_5","ss3_14"
14,17,11030.2077240704,"ss3_20","ss3_14"
14,16,9230.87596958837,"ss3_16","ss3_14"
14,15,10568.7192795343,"ss3_15","ss3_14"
14,14,0,"ss3_14","ss3_14"
15,1,11693.9968143807,"hc1_2","ss3_15"
15,6,11756.7564000598,"hc3_5","ss3_15"
15,13,9899.82934984019,"ss3_3","ss3_15"
15,17,10433.1388276295,"ss3_20","ss3_15"
15,14,10568.7192795343,"ss3_14","ss3_15"
15,4,13138.3972447662,"hc2_17","ss3_15"
15,12,10026.9443553962,"ss2_18","ss3_15"
15,11,10936.7650668245,"ss2_14","ss3_15"
15,9,11779.3731599347,"hc3_11","ss3_15"
15,2,14253.6796464667,"hc1_4","ss3_15"
15,5,12793.9470694638,"hc3_1","ss3_15"
15,18,9796.02152736843,"ss5_18","ss3_15"
15,8,12354.9849994094,"hc3_10","ss3_15"
15,15,0,"ss3_15","ss3_15"
15,16,10193.0244110309,"ss3_16","ss3_15"
15,10,10149.2929893425,"ss2_9","ss3_15"
15,7,13350.9653430459,"hc3_7","ss3_15"
15,3,13740.3274433339,"hc2_15","ss3_15"
16,4,14668.3904998477,"hc2_17","ss3_16"
16,17,10436.7201308372,"ss3_20","ss3_16"
16,11,8530.5236437036,"ss2_14","ss3_16"
16,8,14441.4982062767,"hc3_10","ss3_16"
16,14,9230.87596958837,"ss3_14","ss3_16"
16,3,15822.1428916116,"hc2_15","ss3_16"
16,16,0,"ss3_16","ss3_16"
16,9,13574.422790557,"hc3_11","ss3_16"
16,18,8725.89403755954,"ss5_18","ss3_16"
16,7,16117.6544358743,"hc3_7","ss3_16"
16,5,14521.6735434581,"hc3_1","ss3_16"
16,10,8682.16033439385,"ss2_9","ss3_16"
16,1,14072.0439518509,"hc1_2","ss3_16"
16,2,15345.5683601916,"hc1_4","ss3_16"
16,12,10471.8138024654,"ss2_18","ss3_16"
16,13,8283.19147748935,"ss3_3","ss3_16"
16,6,15334.1738483565,"hc3_5","ss3_16"
16,15,10193.0244110309,"ss3_15","ss3_16"
17,3,13357.0017405863,"hc2_15","ss3_20"
17,16,10436.7201308372,"ss3_16","ss3_20"
17,1,11702.1827088976,"hc1_2","ss3_20"
17,8,11705.9871254448,"hc3_10","ss3_20"
17,13,11215.384594428,"ss3_3","ss3_20"
17,4,12158.7904585244,"hc2_17","ss3_20"
17,7,13837.9689213511,"hc3_7","ss3_20"
17,12,11078.748813017,"ss2_18","ss3_20"
17,17,0,"ss3_20","ss3_20"
17,5,12503.2110935937,"hc3_1","ss3_20"
17,14,11030.2077240704,"ss3_14","ss3_20"
17,18,10959.4797184314,"ss5_18","ss3_20"
