"SeqNum.row","SeqNum.col","dist.manh","SampNum.row","SampNum.col"
9,15,768918.427612539,"ss3_15","hc3_11"
9,8,808170.876507227,"hc3_10","hc3_11"
9,3,803140.495369791,"hc2_15","hc3_11"
9,12,868859.106459571,"ss2_18","hc3_11"
9,1,801494.452106118,"hc1_2","hc3_11"
9,18,779123.559456321,"ss5_18","hc3_11"
9,13,752921.362778515,"ss3_3","hc3_11"
9,16,757687.439268726,"ss3_16","hc3_11"
9,2,814664.007819516,"hc1_4","hc3_11"
9,5,867967.46611241,"hc3_1","hc3_11"
10,2,795988.966436561,"hc1_4","ss2_9"
10,5,859283.312993808,"hc3_1","ss2_9"
10,18,719305.825456114,"ss5_18","ss2_9"
10,17,708344.479311742,"ss3_20","ss2_9"
10,8,759604.633196901,"hc3_10","ss2_9"
10,16,661445.396218624,"ss3_16","ss2_9"
10,4,742814.229259903,"hc2_17","ss2_9"
10,13,651476.361544968,"ss3_3","ss2_9"
10,14,656591.954609937,"ss3_14","ss2_9"
10,11,669634.227434318,"ss2_14","ss2_9"
10,7,768620.440156028,"hc3_7","ss2_9"
10,3,770721.731211543,"hc2_15","ss2_9"
10,6,826131.241009309,"hc3_5","ss2_9"
10,15,692697.52865747,"ss3_15","ss2_9"
10,12,821399.551129404,"ss2_18","ss2_9"
10,1,764354.340225512,"hc1_2","ss2_9"
10,10,0,"ss2_9","ss2_9"
10,9,783897.332219844,"hc3_11","ss2_9"
11,15,634096.430064217,"ss3_15","ss2_14"
11,9,785703.408158179,"hc3_11","ss2_14"
11,2,766222.966152653,"hc1_4","ss2_14"
11,8,698519.830423077,"hc3_10","ss2_14"
11,13,635363.267084231,"ss3_3","ss2_14"
11,7,737344.693014246,"hc3_7","ss2_14"
11,12,854357.842198443,"ss2_18","ss2_14"
11,18,714164.220315953,"ss5_18","ss2_14"
11,6,795416.160180423,"hc3_5","ss2_14"
11,1,731066.621876615,"hc1_2","ss2_14"
11,16,630935.212009767,"ss3_16","ss2_14"
11,14,634095.208491324,"ss3_14","ss2_14"
11,3,728432.595730598,"hc2_15","ss2_14"
11,5,851044.570604774,"hc3_1","ss2_14"
11,10,669634.227434318,"ss2_9","ss2_14"
11,4,694521.273957991,"hc2_17","ss2_14"
11,17,677386.399146579,"ss3_20","ss2_14"
11,11,0,"ss2_14","ss2_14"
12,13,778722.30801978,"ss3_3","ss2_18"
12,7,887217.828873524,"hc3_7","ss2_18"
12,6,916928.391833993,"hc3_5","ss2_18"
12,16,823170.580646683,"ss3_16","ss2_18"
12,2,886200.421008383,"hc1_4","ss2_18"
12,8,890381.882496036,"hc3_10","ss2_18"
12,4,880045.713403474,"hc2_17","ss2_18"
12,3,892047.761086499,"hc2_15","ss2_18"
12,5,911420.040974019,"hc3_1","ss2_18"
12,12,0,"ss2_18","ss2_18"
12,18,786523.337249176,"ss5_18","ss2_18"
12,11,854357.842198443,"ss2_14","ss2_18"
12,17,846952.377029681,"ss3_20","ss2_18"
12,9,868859.106459571,"hc3_11","ss2_18"
12,10,821399.551129404,"ss2_9","ss2_18"
12,15,858641.625434053,"ss3_15","ss2_18"
12,14,796063.486156927,"ss3_14","ss2_18"
12,1,881550.577925235,"hc1_2","ss2_18"
13,18,643695.363610394,"ss5_18","ss3_3"
13,17,673160.158906961,"ss3_20","ss3_3"
13,7,725916.295590208,"hc3_7","ss3_3"
13,8,723431.753665259,"hc3_10","ss3_3"
13,13,0,"ss3_3","ss3_3"
13,15,646485.944945292,"ss3_15","ss3_3"
13,5,832573.174092091,"hc3_1","ss3_3"
13,3,729524.534566415,"hc2_15","ss3_3"
13,11,635363.267084231,"ss2_14","ss3_3"
13,12,778722.30801978,"ss2_18","ss3_3"
13,6,801893.03252108,"hc3_5","ss3_3"
13,16,615025.703220334,"ss3_16","ss3_3"
13,1,728085.884501163,"hc1_2","ss3_3"
13,14,606080.591894556,"ss3_14","ss3_3"
13,2,759823.788933001,"hc1_4","ss3_3"
13,9,752921.362778515,"hc3_11","ss3_3"
13,4,703374.543717191,"hc2_17","ss3_3"
13,10,651476.361544968,"ss2_9","ss3_3"
14,10,656591.954609937,"ss2_9","ss3_14"
14,18,657788.281542104,"ss5_18","ss3_14"
14,2,749732.461508512,"hc1_4","ss3_14"
14,7,717720.454044494,"hc3_7","ss3_14"
14,11,634095.208491324,"ss2_14","ss3_14"
14,3,719090.033287424,"hc2_15","ss3_14"
14,8,703588.076811943,"hc3_10","ss3_14"
14,1,720065.661790943,"hc1_2","ss3_14"
14,12,796063.486156927,"ss2_18","ss3_14"
14,4,691199.092332297,"hc2_17","ss3_14"
14,9,746074.212981729,"hc3_11","ss3_14"
14,5,827708.647888649,"hc3_1","ss3_14"
14,13,606080.591894556,"ss3_3","ss3_14"
14,6,789904.954308959,"hc3_5","ss3_14"
14,17,667687.491408669,"ss3_20","ss3_14"
14,16,601151.136919392,"ss3_16","ss3_14"
14,15,630050.673440952,"ss3_15","ss3_14"
14,14,0,"ss3_14","ss3_14"
15,1,710872.395449756,"hc1_2","ss3_15"
15,6,774815.268580832,"hc3_5","ss3_15"
15,13,646485.944945292,"ss3_3","ss3_15"
15,17,658456.016129948,"ss3_20","ss3_15"
15,14,630050.673440952,"ss3_14","ss3_15"
15,4,664094.630808914,"hc2_17","ss3_15"
15,12,858641.625434053,"ss2_18","ss3_15"
15,11,634096.430064217,"ss2_14","ss3_15"
15,9,768918.427612539,"hc3_11","ss3_15"
15,2,749007.691918527,"hc1_4","ss3_15"
15,5,835399.985706952,"hc3_1","ss3_15"
15,18,709839.010712571,"ss5_18","ss3_15"
15,8,671282.03989374,"hc3_10","ss3_15"
15,15,0,"ss3_15","ss3_15"
15,16,638715.222745044,"ss3_16","ss3_15"
15,10,692697.52865747,"ss2_9","ss3_15"
15,7,717536.404594166,"hc3_7","ss3_15"
15,3,711810.015711677,"hc2_15","ss3_15"
